,Almonds; with shell,Anise; badian; fennel; coriander,Apples,Apricots,Artichokes,Asparagus,Avocados,Bananas,Barley,Beans; dry,Beans; green,Berries nes,Blueberries,Brazil nuts; with shell,Broad beans; horse beans; dry,"Butter, Cream & Ghee",Cabbages and other brassicas,Carrots and turnips,Cashew nuts; with shell,Cassava,Cauliflowers and broccoli,Cheese,Cherries,Chestnut,Chillies and peppers; green,Cocoa; beans,Coconuts,Coffee; green,Cranberries,Crustaceans,Cucumbers and gherkins,Currants,Dates,Eggplants (aubergines),Eggs; hen; in shell,Eggs; other bird; in shell,Figs,Fish,Fruit; fresh nes,Fruit; tropical fresh nes,Garlic,Ginger,Gooseberries,Grain; mixed,Grapefruit (inc. pomelos),Grapes,Groundnuts; with shell,Hazelnuts; with shell,Kiwi fruit,Leeks; other alliaceous vegetables,Lemons and limes,Lentils,Lettuce and chicory,Maize,Mangoes; mangosteens; guavas,Meat; cattle,Meat; chicken,Meat; duck,Meat; pig,Meat; rabbit,Meat; sheep,Meat; turkey,Melons; other (inc.cantaloupes),Milk; whole fresh cow,Mushrooms and truffles,Nuts nes,Oats,Oil palm fruit,Olives,Onions; dry,Onions; shallots; green,Oranges,Peaches and nectarines,Pears,Peas; green,Pepper (piper spp.),Persimmons,Pineapples,Pistachios,Plums and sloes,Potatoes,Pulses nes,Pumpkins; squash and gourds,Quinoa,Rapeseed,Raspberries,Rice; paddy,Soybeans,Spices nes,Spinach,Strawberries,Sugar beet,Sugar cane,Sunflower seed,Tangerines; mandarins; clementines; satsumas,Tea,Tomatoes,Vegetables; fresh nes,Vegetables; leguminous nes,Walnuts; with shell,Water,Watermelons,Wheat,nan
VEGETABLES - CARROTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286980100522752,0.0,0.0460243461467001,0.0,0.0,0.0,0.335210636715733,0.161776318395164,83.0064210890617,0.0,0.462628851799807,1.1133652360509971,0.310998443203717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155122115539546,0.0,0.0,0.0,0.0,0.134122280000985,0.0022464847656886,0.0,0.0,0.0,0.0,0.0,0.0901021592101124,0.0,0.244856421624118,1.7565232345762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152364228954592,0.0,0.0,0.0,0.0,0.0,0.0,4.32348849650832,0.0314486533681747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373134824715692,0.0,0.0278658575639483,0.0,0.113159416032955,0.0,0.0,0.0,0.72269867258008,0.460382367034118,0.0,0.0,0.0,0.563444300382893,0.0,0.0,3.12489375384952,0.0,1.6235726656304,0.0
ICING-READY TO USE,0.0,0.0,0.0186345746090382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235678894752955,0.0,0.103819035420734,0.106941564600907,0.0802407894911203,0.0,0.0128286029093228,0.0,0.0,0.0,0.89497613835498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725461555689818,0.0,0.0,0.0,0.166670408829859,0.0,0.0,0.0,0.0,0.659872324184512,2.90131975724015,0.15522936725778902,0.106941564600907,0.0,0.0,0.0031612790844199,0.109229143741541,0.0,0.0,0.284794982701772,0.0,0.0668657232743306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7084474033003,0.0,0.0,0.0,10.3674944800199,0.008517104993824,0.149041949914656,0.0,0.0,0.0143582160046419,0.0,0.0,0.005238327826952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1242717397483,0.0,0.313917368276829,0.0,0.0641995254294302,0.0,0.0,3.91038179271979,39.2419998664273,0.0,0.0,0.0,0.0291377308147679,1.2757026162989937,0.0,0.0,9.66384014246446,0.0,0.467639911659629,0.0
QUORN PRODUCTS EXC FRZN PRSCD,0.0,0.0,0.0203532481017266,0.0,0.0,0.0,0.0,0.0039013397088711,0.0153209096548732,0.286864953723078,0.0,0.0049274571578783,0.0015589385743597,0.0,0.0,0.764602149528115,0.0,0.152241050998932,0.0,0.366714457997713,0.0,1.473148395997426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011249902186936,0.0,0.0,4.67881139864899,0.0,0.0,0.0,0.210134116815918,0.0,0.0,0.0,0.0,0.810107278313479,1.61427958352891,0.1031724585901784,0.0,0.0,0.0,0.0036628013213857,0.0383962387081475,0.0861726185889393,0.0839289630102693,0.369759020105476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69692777886804,47.5762486395375,0.0,0.0,0.863792807196668,0.0001542339912907,2.32578468379679,0.0,0.0017319014907578,0.0,0.0,0.786688689925541,0.741325893072114,0.0,0.0,0.0,0.0,0.0,0.0,0.0157350482826121,0.0,1.62330930983814,0.0,1.73363419872606,0.0061262118430597,0.850933078135145,0.0,0.0,0.0,0.714400550668403,0.395338111193354,0.0,0.0,1.18115338026856,1.096065288348079,0.0,0.0,10.7470911926615,0.0,8.805175832461828,0.0
VEGETABLES - ONIONS,0.0,0.0,0.0262387925772115,0.0,0.0,0.0,0.0,0.0,0.0837562992261381,0.0106982551617372,0.0,0.0,0.0,0.0,0.0,0.023097556477818,0.528199961540885,0.556633596898409,0.0,2.03038243732094,0.0,0.0442852489746357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0460940445208994,0.174700335254125,0.2273627846916783,0.0,0.0,0.0,0.0035816142406823,0.0350216692216229,0.0,0.0,1.9928670506325,0.0,0.0016898347590399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444739511247,0.0,0.0,0.0,0.233728388840948,0.02619297892909,74.0192733336061,0.0,0.0,0.0,0.0,0.0420725051254153,0.0519713670396402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123447537247189,0.0,0.118870800598619,0.0,0.0345184686358436,0.0,0.0,0.0,2.88432899252855,2.08892453716278,0.0,0.0,0.0073159216154664,0.537492308135343,0.0,0.0,7.78764441883365,0.0,0.841094806194865,0.0
VEGETABLES - TOMATOES,0.0,0.0,0.107195097034845,0.0,0.0,0.0,0.0,0.0,0.0306536256446723,0.0,0.0,0.0026979067203239,0.0,0.0,0.0,0.0635271936438724,0.111124125387363,0.122559761604961,0.0,1.00287417729396,0.0,0.1751673305329584,0.0,0.0,0.0,0.0,0.0,0.0,0.0009974668209046,0.0,0.013981070662845,0.0,0.0,0.0,0.0,0.0,0.0,0.0029072142777889,0.0,0.0,0.0,0.0,0.0,0.0235707285243651,0.273838477927807,0.1634654955382053,0.0,0.0,0.0,0.0,0.0506544236493979,0.0,0.251329168424396,0.970769279117321,0.0,0.4913052787757956,0.0,0.0,0.0,0.0,0.0083390058431264,0.0,0.176209519785876,0.0,0.0,0.0122936191293304,0.0,0.0027741571915188,0.669646870349511,0.0777844556585292,0.0,0.0533070831158152,3.24000013206862,0.0,0.0,0.10332961053227,0.0,0.0,0.0,0.0,0.0,0.0,0.0109912830198889,0.0,0.118930189209725,0.0,0.0313398180404362,0.0,0.353215236060011,0.0,0.178440235816452,0.0,0.437880311627704,3.31864996061224,0.0,0.0,85.6464548951636,0.2860955114646289,0.0,0.0,0.310075444958012,0.0,0.0335342912343519,0.0
VEGETABLES - PEPPERS,0.0,0.0,0.0368274462444456,0.0,0.0,0.0,0.0,0.0,0.0,0.190490114374134,0.0,0.0,0.0,0.0,0.0,0.160115047738568,0.859918184219321,0.149775632446078,0.0,0.0,0.0,0.23024002551101042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007602787939769,0.0,0.0,0.0,0.0,0.0111549373240248,0.0,0.0,0.0,0.0257792123711119,0.0,0.0,0.0,0.0,0.0737942533383226,0.0037124422450398,0.1931820992942071,0.0,0.0,0.0,0.0,0.0275901625940112,0.0,0.17346260503571,0.262586915464343,0.0,0.413227675099127,0.602467398787012,0.0,0.381378236044782,0.0,0.0,0.0,0.0,0.08505193738779,0.004013739683626,0.0,0.0,0.036264620654484,0.173398002438547,0.264591602431392,0.0,0.0254109379086674,0.0397240287591667,0.0,0.0026158400932008,75.1574901592176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377865598546814,0.0,0.215844878942973,0.0,0.118719357954503,0.0,0.0,0.0,1.35951560560559,0.646803554045643,0.0,0.0,4.13256700980513,7.2825241562012915,0.0,0.0,3.96134494346949,0.0,1.16262141070076,0.0
VEGETABLES - LETTUCE,0.0,0.0,0.339665651425668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413845566209044,0.378937556550503,0.184366138292764,0.0,0.0,0.0,0.0135173566155483,0.0,0.0,0.0,0.2239419986130219,0.0,0.0,0.0,0.0,0.0164286643954333,0.0,0.0,0.0,0.0118545600635803,0.0,0.0,0.0,0.327858004170017,0.0,0.0,0.0,0.0,0.0188710180586825,0.0,0.3801238048782852,0.0,0.0,0.19021879352771,0.0,0.0341748079867617,0.0,89.325936266665,0.0059272800317901,0.0,0.0,0.0,0.0,0.0,0.0,3.11741077149446,0.0,0.455095980400982,0.356687097547928,0.0,0.017433885698816,0.0,0.0399679280453521,0.0417800406270859,0.0248245073527268,0.0,0.177095841604805,0.0,0.0,0.0,0.0965970998950326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143871898898005,0.0,0.0,0.0,0.157818716181875,0.0,0.180351108633125,0.0,0.896771786942353,0.0264982422735594,0.0,0.0,0.116327463214224,0.255884258355062,0.0,0.042142963106834,0.301587225856996,0.0,0.276843647902495,0.0
VEGETABLES - CUCUMBER,0.0,0.0,4.83206666934495,0.0,0.0,0.0,0.0,0.414774775758407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.20304543594516,0.0,1.06300643580073,0.0,0.0688514612611728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.2929889154354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228294459360056,0.0,0.0,0.0,0.0,0.0921138780380536,0.0,0.5698918572431877,0.0,0.0,0.479624120324383,0.0,0.115906130236649,0.0,0.0093250286916969,0.996568533563187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033724470270345,0.0,0.0,0.0,0.0277423144125355,1.205334666188298,0.0,0.0,0.0,0.0,3.00781670183784,0.0,0.0031880796495437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0332189511187729,0.0,0.0607386986151742,0.0,0.0,0.0,0.0332189511187729,1.16613085145651,0.0,0.0,0.0,0.137869122159339,0.0,0.0,0.447651715234523,0.0,0.0,0.0
COOKING OILS,0.26506389425436,0.0,0.0015880558167175,0.0,0.0,0.0,0.0,0.0,0.0014883570965705,2.72220192873204,0.0,0.000411204445144,0.0,0.0,0.0,0.117839716212867,0.1463447109656942,0.0977948304816879,0.0,0.0002581146357455,0.0047630545496663,0.0,0.0,0.0,0.0,0.07304245562246771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004869234434862,0.0,0.0,0.179754625267759,3.17424683301029,0.0,0.0,0.0,0.0,0.687781153319157,0.0,0.3852224713437591,2.01556409895239,0.0029295196417785,0.0,0.0026195534438331,0.0384944725844884,0.0,0.0017002030382265,0.498550590652847,0.0,0.0,0.0001132611948153,0.0,0.0,0.0,0.0,0.0,0.0689039348678725,0.106275805406105,0.0006290457829656,0.0,0.0096751712950716,7.73712196555846,40.551155965899426,0.0350242781684851,0.0,0.0932905219248977,0.0,0.0,0.001038739404116,0.281221240536966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0550268613357,0.0,0.156589884278606,0.208184118197472,0.100676106437504,0.0,0.0014821854289363,0.0,0.14943314863824,13.7250678507333,0.0,0.0,1.58427642699922,1.2686773786802938,0.0,0.284836294591033,2.39835889270926,0.0,0.496437500009638,0.0
FLOUR-CHAPATI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236327401386862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158668349983644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351878939845079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102051795744043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9823533563688,0.0
SAVOURY PASTA,0.0,0.0,0.0190745333898966,0.0,0.0,0.0,0.0,0.0,0.0450810715476436,0.0604144883599763,0.0,0.0,0.0,0.0,0.0,0.634294896996753,0.0,0.130037950496044,0.0,0.0043578077859022,0.30135889561199,3.7827078780463532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171614798466466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0959371079715046,0.619694775328719,0.1570437765124036,0.0,0.0,0.0,0.0492503113859736,0.106309135884056,0.107952487928956,0.047985924805335,2.16197477792484,0.0,0.0,1.02087708664502,0.0,0.103621853736508,0.0,0.0,0.0,0.0,3.20189360983055,0.244382141362629,0.0,0.0,0.453977316467741,0.0590559928560332,1.96473643084105,0.0,0.0056571883158043,0.0,0.0,0.0528917784072283,0.821725682538926,0.0,0.0,0.0,0.0,0.0,0.0,0.018237189478608,0.0,0.796862440141264,0.0,0.0398584083296762,0.0,0.859841187071638,0.0,0.0,0.0,1.13370521648165,0.0907154132378055,0.0,0.0,5.85136077802489,1.3607859230685275,0.0,0.0,6.86980922919076,0.0,52.9364728167073,0.0
PATE,0.0,0.0,0.165753647592737,0.0,0.0,0.0,0.0,0.0,0.0065094020987743,0.220118148624399,0.0,0.0,0.001332869079782,0.0,0.0,6.50212273822131,0.0036909952633427,0.0261328182124155,0.0010575571038765,1.44697931052053,0.007348570964454,1.9729410131050864,0.0,0.0,0.0,0.0022198434608473,0.0,0.0,0.570324228707863,1.18879356314325,0.0159391219162333,0.0580345932514004,0.0,0.0,0.499941824372567,0.0,0.0,10.359471048873658,0.0017098684812001,0.0,0.0,0.0,0.0,0.0821213753932409,1.05256285416483,0.5618915795301439,0.156484084649079,0.0,0.0,0.0044301306181041,0.4543252852668998,0.0458630503403109,0.0303330800188627,0.302366285596781,0.0,0.0152166275825506,9.65635728103111,0.0,29.3556938012661,0.0,0.0574377576761385,0.0,0.0,0.335183171954864,1.91615534848902,0.0004016416455268,0.156430036178097,0.432759576911962,0.07147827614523253,2.45035183698825,0.0,0.395279994401126,0.0277549709903152,0.0152837432838006,0.019969704420369,0.67611286533052,0.0,0.0,0.0,0.0,0.0,0.0,0.287945901433117,0.0,1.12763837329158,0.0,0.343922406099215,0.0,0.48917428003104,0.0,0.0,0.0,1.38027164003132,0.3247399183618702,0.0,0.0,0.426560715516905,0.7948997512475582,0.0,0.0,10.9051288517562,0.0,0.76515674371721,0.0
